step,reward_score_ma30,response_length_ma30,clip_ratio_ma30
576,0.80026,3218.4643,0.105859
577,0.800521,3226.2391,0.105859
578,0.799609,3228.8078,0.107682
579,0.79349,3247.4984,0.111068
580,0.790885,3241.9999,0.110026
581,0.789583,3233.9293,0.110156
582,0.785026,3263.3999,0.11263
583,0.786328,3260.6284,0.11276
584,0.783984,3278.6372,0.115234
585,0.78099,3274.8333,0.116146
586,0.772786,3299.6552,0.11888
587,0.770312,3310.8232,0.119141
588,0.766276,3330.1711,0.119922
589,0.765885,3331.5408,0.119271
590,0.76263,3340.0432,0.120182
591,0.763151,3336.0698,0.120833
592,0.770443,3326.4159,0.118229
593,0.766536,3333.1072,0.122135
594,0.769141,3339.4039,0.120703
595,0.769922,3321.0155,0.11888
596,0.76263,3384.9759,0.12513
597,0.759505,3384.5332,0.126042
598,0.757943,3383.8234,0.125
599,0.754818,3388.9035,0.123958
600,0.754818,3425.1074,0.125521
601,0.760026,3399.3708,0.121615
602,0.75599,3413.522,0.123177
603,0.758594,3395.1117,0.121354
604,0.76237,3389.5013,0.119141
605,0.760807,3400.647,0.120703
606,0.757422,3412.3018,0.123568
607,0.758203,3390.5542,0.122005
608,0.757552,3384.2853,0.120313
609,0.762109,3375.0664,0.118229
610,0.762891,3387.4491,0.11901
611,0.758203,3403.1026,0.119401
612,0.759245,3393.6785,0.119271
613,0.759635,3377.1062,0.119271
614,0.765495,3315.0853,0.113411
615,0.765234,3316.665,0.1125
616,0.76888,3315.568,0.113542
617,0.772656,3286.4941,0.109635
618,0.777604,3251.7534,0.10638
619,0.783464,3208.6083,0.103125
620,0.786328,3198.8316,0.103776
621,0.78737,3197.2988,0.103646
622,0.785807,3188.2626,0.104036
623,0.78763,3191.5975,0.102474
624,0.789844,3186.6275,0.102604
625,0.790234,3178.8949,0.102214
626,0.795573,3147.8811,0.098177
627,0.797917,3149.6964,0.098307
628,0.801432,3130.9911,0.097786
629,0.802604,3139.772,0.099219
630,0.798307,3148.2168,0.101172
631,0.795833,3161.2013,0.102474
632,0.800911,3141.8237,0.101042
633,0.798047,3166.8641,0.103776
634,0.798047,3178.1048,0.105078
635,0.803516,3150.3001,0.102083
636,0.803646,3139.7128,0.099609
637,0.804297,3151.0609,0.09987
638,0.805859,3132.1254,0.098698
639,0.805599,3114.9074,0.098177
640,0.807943,3093.5146,0.096484
641,0.807682,3101.9686,0.099479
642,0.807161,3103.8345,0.098047
643,0.808594,3111.7661,0.097396
644,0.804167,3152.4335,0.101172
645,0.805599,3157.4626,0.102214
646,0.808594,3115.197,0.097656
647,0.805729,3124.7397,0.098568
648,0.804427,3116.7242,0.09974
649,0.801432,3126.3206,0.101172
650,0.797917,3140.9583,0.10013
651,0.796094,3143.413,0.099089
652,0.797917,3149.2254,0.098568
653,0.797266,3157.6706,0.096745
654,0.798177,3149.6257,0.094922
655,0.799089,3149.3311,0.093359
656,0.798698,3141.2076,0.092969
657,0.796484,3159.627,0.095964
658,0.794531,3157.2228,0.095964
659,0.796094,3138.7184,0.09362
660,0.795703,3136.7809,0.09349
661,0.795703,3146.0565,0.094271
662,0.793229,3160.0483,0.095573
663,0.794661,3141.9841,0.094531
664,0.791276,3132.0812,0.094531
665,0.789193,3131.7725,0.094141
666,0.792318,3112.6443,0.093229
667,0.792969,3089.0306,0.092057
668,0.792188,3106.3202,0.091927
669,0.791146,3114.0901,0.091797
670,0.783984,3131.3086,0.09375
671,0.788281,3110.7447,0.089583
672,0.784115,3118.0665,0.091667
673,0.784766,3121.7374,0.092578
674,0.785286,3133.3564,0.092839
675,0.785938,3124.8677,0.092057
676,0.789323,3131.9781,0.092708
677,0.788151,3146.1488,0.094271
678,0.785807,3183.9729,0.098047
679,0.784635,3192.7747,0.098568
680,0.790885,3156.437,0.096354
681,0.789583,3169.0066,0.098307
682,0.785547,3179.4629,0.101432
683,0.784896,3163.8979,0.103516
684,0.785417,3147.4129,0.103385
685,0.782422,3171.0578,0.106901
686,0.783464,3170.0841,0.10625
687,0.786328,3153.8888,0.101302
688,0.785156,3161.6754,0.100651
689,0.7875,3147.4298,0.101693
690,0.790755,3143.5734,0.101693
691,0.789193,3136.535,0.102604
692,0.792448,3133.8176,0.102344
693,0.791146,3151.4633,0.102344
694,0.794792,3146.9257,0.101693
695,0.789583,3189.1754,0.107552
696,0.785807,3202.2512,0.108333
697,0.784635,3209.8496,0.109375
698,0.782031,3217.4316,0.110417
699,0.78099,3264.3993,0.113411
700,0.787891,3247.9999,0.11224
701,0.78737,3257.8462,0.115625
702,0.795312,3227.6736,0.112891
703,0.795052,3209.3439,0.111198
704,0.798568,3186.9151,0.108724
705,0.796354,3191.8783,0.110547
706,0.795443,3197.7703,0.111979
707,0.794922,3187.5302,0.112891
708,0.798177,3161.8978,0.109115
709,0.799349,3157.631,0.107812
710,0.796745,3197.1835,0.109375
711,0.798958,3178.4564,0.106641
712,0.799479,3187.1414,0.105078
713,0.801172,3181.1594,0.103125
714,0.801172,3186.7214,0.103516
715,0.801693,3171.6314,0.101562
716,0.801823,3180.24,0.102734
717,0.798568,3195.4117,0.107161
718,0.79974,3193.3901,0.108073
719,0.797135,3211.2826,0.107422
720,0.79362,3204.0194,0.105208
721,0.794661,3213.2533,0.105208
722,0.793359,3184.372,0.102865
723,0.790625,3199.3911,0.104036
724,0.790755,3189.6225,0.103385
725,0.793099,3161.4767,0.099089
726,0.795703,3154.0358,0.097786
727,0.797656,3148.1566,0.095703
728,0.800911,3146.9046,0.096875
729,0.8,3115.8762,0.096224
730,0.799219,3112.8104,0.095443
731,0.797786,3125.4626,0.094661
732,0.792187,3167.4172,0.097135
733,0.793099,3161.5486,0.096224
734,0.791536,3146.7475,0.095052
735,0.792188,3164.0049,0.09401
736,0.790495,3182.0324,0.095703
737,0.788932,3203.1395,0.098698
738,0.786068,3217.552,0.1
739,0.7875,3217.2167,0.10026
740,0.784766,3219.9566,0.102083
741,0.783073,3232.2607,0.102865
742,0.782161,3243.4453,0.104818
743,0.780859,3259.4098,0.10612
744,0.779427,3263.603,0.106641
745,0.78125,3268.5227,0.107031
746,0.775521,3292.1749,0.109115
747,0.776823,3271.2897,0.10638
748,0.774609,3286.3878,0.107422
749,0.772786,3288.8561,0.109245
750,0.776042,3302.0583,0.111198
751,0.773177,3286.0315,0.108724
752,0.771484,3310.627,0.110677
753,0.776693,3284.2583,0.107682
754,0.771745,3320.304,0.110286
755,0.771224,3309.7859,0.109245
756,0.772786,3294.0158,0.109375
757,0.769401,3323.9281,0.113151
758,0.764323,3339.6934,0.115104
759,0.766536,3328.0592,0.113672
760,0.768229,3320.8815,0.113672
761,0.770182,3300.2819,0.11276
762,0.772266,3299.1747,0.113151
763,0.769531,3323.7326,0.115885
764,0.763542,3368.6452,0.121484
765,0.764063,3342.1721,0.121224
766,0.765495,3329.7936,0.119531
767,0.764714,3324.2257,0.115234
768,0.770833,3295.2143,0.111589
769,0.76875,3288.6434,0.109766
770,0.771484,3273.8982,0.107552
771,0.774219,3270.0047,0.108203
772,0.773698,3239.9129,0.105078
773,0.778125,3215.9514,0.102734
774,0.77487,3230.3836,0.104036
775,0.774479,3232.8471,0.103776
776,0.782031,3192.1217,0.10026
777,0.779948,3209.0737,0.102214
778,0.784245,3206.1361,0.101953
779,0.78776,3186.3164,0.098438
780,0.786589,3168.387,0.096615
781,0.788802,3178.7725,0.097526
782,0.789974,3181.8435,0.098437
783,0.786458,3190.2721,0.101953
784,0.791276,3154.9262,0.099219
785,0.796354,3161.5465,0.099349
786,0.796094,3176.5306,0.09987
787,0.802214,3134.5557,0.095833
788,0.803125,3140.4883,0.096745
789,0.80026,3145.8404,0.097526
790,0.799219,3157.7815,0.098568
791,0.795964,3175.1701,0.099089
792,0.796484,3138.5379,0.094922
